datadate,Seed 42,Seed 7,Seed 25,Seed 14
2016-01-04,1000000.0,1000000.0,1000000.0,1000000.0
2016-01-05,1000277.5338654995,1000487.367210816,1000605.4220043202,1000387.2244522132
2016-01-06,995768.5894597532,998367.4107460452,1000467.0215922346,998780.8646383766
2016-01-07,984558.1784257888,989782.620548448,994846.0024387728,992702.509597806
2016-01-08,980087.2202608108,985128.7527573886,991839.932674103,990417.979467308
2016-01-11,980163.893189287,986466.5058214052,993026.127305792,990084.5242169602
2016-01-12,980476.2083955765,987326.970726575,995679.0604498816,989467.2571570646
2016-01-13,975319.434880972,982526.0452434848,981844.905043793,990340.2004373892
2016-01-14,1003105.307533164,1009477.1588678374,987372.082084858,1010356.3483501032
2016-01-15,1006828.8932808829,1011778.5217973724,977583.4426999056,1018947.2620786582
2016-01-19,1010108.7805603932,1009555.0539043084,980095.7782135024,1018040.2227589404
2016-01-20,999804.7423056554,998331.6837623292,973281.2844488836,1009498.6554631052
2016-01-21,995186.937224288,991473.6439258658,976401.0819806478,1007958.7835613833
2016-01-22,997233.7291602086,993041.1725604984,986293.2733661992,1007793.6336329974
2016-01-25,983116.4978903722,978876.0433564688,974855.9141270614,995172.66508131
2016-01-26,994581.501024146,985382.3485760698,983174.8693400122,1004446.686766776
2016-01-27,982032.6180781316,969869.3474276068,967883.6064643938,989806.8803580748
2016-01-28,988714.049286742,967301.3334164128,968244.7739478684,992132.3821243274
2016-01-29,993029.3264273596,977597.6351109406,989405.2036392444,1006295.3462832246
2016-02-01,1009309.795658965,990908.6148888052,995082.632501454,1013250.3687566888
2016-02-02,997706.253275771,980007.8447308706,970174.029894815,1000924.698163296
2016-02-03,990186.736534972,974933.8748693168,974444.2783295378,1005694.483462182
2016-02-04,996373.1679829548,975426.2948500242,978342.2030471954,1003534.1271943242
2016-02-05,971912.9960955572,952160.0304727769,945491.1718775138,986224.923655548
2016-02-08,958476.2293156576,939588.1503658608,936759.11739019,986628.9352279996
2016-02-09,960834.7706707906,944372.0198233564,946128.3897199212,998198.8146943154
2016-02-10,966844.2943247746,950254.9550732748,945037.7011956105,993654.9358447538
2016-02-11,966637.865166564,941383.3326776596,929000.461684885,972014.5042001382
2016-02-12,991224.828112502,960728.7439532512,946761.2949565144,980138.845934374
2016-02-16,1012782.9341801596,982116.1668073566,969062.6977538316,999024.0113212274
2016-02-17,1038394.1282566976,1005471.970144236,990241.3881155225,1008850.7293899548
2016-02-18,1033061.643397231,997089.2475515936,982284.0184488395,1008271.4510830952
2016-02-19,1026643.659101386,990012.8587190406,979141.5562833588,1004429.8706866913
2016-02-22,1051226.7885159445,1006398.565377624,999307.064830842,1019115.0579812264
2016-02-23,1043181.4540575932,996193.0953628336,983459.7987327958,1010155.9580841158
2016-02-24,1040513.1108130406,1003572.1477467812,1002159.4768832924,1026146.554313126
2016-02-25,1043212.1160744618,1016224.1630324126,1018394.1576252864,1041925.2782851416
2016-02-26,1039887.0113467168,1010313.278523088,1013670.0592965324,1032447.2211790804
2016-02-29,1038665.2670916507,1000203.7350460812,1013521.634656901,1031282.3506575432
2016-03-01,1055955.7809084845,1026721.9056067776,1033495.7136024102,1043416.5538678372
2016-03-02,1069327.3753022146,1028462.5351781028,1035420.0680631114,1042042.7520784378
2016-03-03,1068411.510037322,1025696.7117911212,1037679.4499785232,1042475.9784460784
2016-03-04,1075597.6129540396,1036403.8400811644,1045797.8330335992,1043388.4483854524
2016-03-07,1077879.2422684622,1022621.0790880278,1040916.850287351,1040294.9208440136
2016-03-08,1064541.9607857657,1015766.0832702712,1028824.8028881234,1030611.7383744242
2016-03-09,1054052.6200493765,1020640.5566371756,1034143.9735295376,1036983.883642302
2016-03-10,1051705.5648516607,1018416.5189971172,1033309.238143382,1039916.333648234
2016-03-11,1063869.1598757696,1033022.7047665536,1048229.4786978432,1049619.8443947362
2016-03-14,1069656.8572033837,1035822.6800929796,1050656.929371927,1052420.4076933465
2016-03-15,1056780.803940673,1023092.9832032868,1048896.8357669197,1051847.3157972624
2016-03-16,1058954.0632599783,1033219.2398457034,1055036.001831588,1058081.1288531187
2016-03-17,1045610.69340219,1027392.7974400064,1065022.043044229,1067813.3896511486
2016-03-18,1040986.0078572223,1041193.9956430192,1071336.824744423,1075826.52022354
2016-03-21,1047361.823889632,1045196.66731737,1069555.0105685256,1076543.6747876564
2016-03-22,1053146.763615508,1046870.8701843434,1064454.773641885,1075104.1379299767
2016-03-23,1051082.0880326224,1035324.8309278014,1054559.1348731094,1067908.5673908924
2016-03-24,1047433.9919499347,1033364.1734686,1055169.6443173743,1061581.892964969
2016-03-28,1053195.6255406332,1039935.2265437484,1055317.3457144818,1064221.1718487076
2016-03-29,1049468.2928151083,1054337.9286875443,1068784.150193712,1073723.4485248148
2016-03-30,1054129.2846087408,1051632.974319517,1074304.8395215005,1079898.002780041
2016-03-31,1057305.4238280249,1052460.7963337246,1074394.550374045,1076475.1522829144
2016-04-01,1060223.5238856268,1075347.1351400549,1084185.254485822,1083001.8476520143
2016-04-04,1058779.645151992,1069075.3141475047,1082202.6642119351,1084551.5722358942
2016-04-05,1058779.64383021,1069075.3305797577,1082202.6723730534,1084551.5706915855
2016-04-06,1054822.7892613949,1085417.3351951486,1074359.98832896,1085080.7330658012
2016-04-07,1045246.4564711571,1071833.64153737,1061337.3825271158,1077542.2570746287
2016-04-08,1046516.487347854,1070363.5470535895,1051944.6706123184,1077468.1330057215
2016-04-11,1039813.1093826832,1064517.1910588066,1048911.7713227828,1072347.4155430277
2016-04-12,1049812.0545507416,1083170.6443257234,1054441.421566807,1078915.4289195945
2016-04-13,1061971.2591962633,1101394.235482501,1067091.769589244,1084316.3683308824
2016-04-14,1063868.5770101584,1107703.1199477266,1068126.8322211795,1083378.0050940292
2016-04-15,1067593.7846169,1111365.828805913,1069149.7363759975,1084256.609532572
2016-04-18,1068579.677986469,1112221.8619049485,1075251.1215005857,1091038.072821288
2016-04-19,1052712.1996471388,1071894.311060249,1074456.3778802813,1092822.8169902363
2016-04-20,1056009.8919766564,1082138.7765086654,1076686.601690346,1092923.8028278109
2016-04-21,1049222.403466846,1079470.013717154,1065176.3291915802,1087030.8620020652
2016-04-22,1051281.3060163436,1083431.1221084767,1066757.719672494,1087906.3050783349
2016-04-25,1045771.4285239964,1076404.9581797167,1063443.271687026,1088029.151414028
2016-04-26,1051434.855522368,1070679.8358051558,1067797.4564141396,1097714.6750758006
2016-04-27,1053900.8946474425,1071500.7106949792,1074682.8691357127,1103390.5460736682
2016-04-28,1045597.1491064164,1055540.553771792,1062804.5064541255,1091990.568392104
2016-04-29,1036960.8705530164,1030415.0769189312,1055945.5345030893,1080702.5018773435
2016-05-02,1046010.078440048,1045311.0749905232,1063945.0942299785,1087181.1967525573
2016-05-03,1037648.5436102252,1031296.5106529308,1055585.6547164288,1084444.74924044
2016-05-04,1030811.7768530976,1018698.0669547166,1051239.226298482,1083682.8718413278
2016-05-05,1029754.4261000667,1015231.733385764,1048213.9408198808,1087862.695110706
2016-05-06,1036149.177792854,1015909.257018645,1055006.748901468,1093807.5748039996
2016-05-09,1034686.8109713334,1019252.8641353908,1053492.2015971872,1093907.286663832
2016-05-10,1047909.3214218612,1032938.95424592,1060593.9506935787,1107427.9534572891
2016-05-11,1033331.7078762308,1014679.8560164488,1043846.695928814,1094111.303536142
2016-05-12,1029633.8030289094,1002983.3133457492,1039997.4501965464,1098434.714690834
2016-05-13,1026396.6681957226,1004063.998578619,1034020.4488358404,1088034.1202814288
2016-05-16,1038016.054879696,1016253.3899503042,1045408.1720073908,1094250.6697093148
2016-05-17,1029070.8074932776,1004149.662497062,1035607.6632577416,1085647.234346856
2016-05-18,1032891.4207339792,1011484.5498768202,1035402.4369985746,1084412.812423648
2016-05-19,1022692.7471728616,999341.8210637508,1025103.5751931797,1074733.8652664444
2016-05-20,1033112.9117950264,1011830.0345753224,1025117.6998720308,1077386.023658228
2016-05-23,1038072.6026151832,1017260.7468988046,1026620.1488258666,1075979.3405312144
2016-05-24,1055429.4114130293,1039070.2370030708,1039689.6843220948,1085561.4094574023
2016-05-25,1060401.2446221383,1046464.2653665454,1040386.2801634368,1088773.3892471695
2016-05-26,1065331.4164759847,1052349.6756477023,1041583.7098793922,1089987.8620210595
2016-05-27,1070254.0681616352,1055432.4134220004,1043450.4000269258,1092201.1302109768
2016-05-31,1067642.7050001477,1056322.621072998,1036692.1792647628,1082679.0115463475
2016-06-01,1067842.6796738305,1053401.963719325,1037768.8089505298,1087058.458691464
2016-06-02,1069971.2338978022,1056371.652010993,1037074.8774874893,1090862.411327992
2016-06-03,1064075.792085541,1047933.1644329188,1032550.4980951324,1092907.208013414
2016-06-06,1072240.692163539,1053023.261475475,1036398.7064801534,1098588.3481805369
2016-06-07,1070900.387616539,1052710.116371588,1037750.8904521388,1098420.158117104
2016-06-08,1064737.0857651972,1049476.3167522969,1038418.9394755432,1102800.8938042272
2016-06-09,1061784.293921702,1040866.1659386996,1038435.7462322296,1101937.5931334111
2016-06-10,1045376.7169672056,1022975.7639067406,1030283.0874884076,1096663.498202193
2016-06-13,1038499.0027148146,1017103.221190638,1022130.1852481932,1086966.8372682754
2016-06-14,1040160.7459575824,1016187.2568849742,1015842.8245473828,1089583.0662664997
2016-06-15,1040875.9228300584,1013236.971573391,1014478.9626298218,1087246.3052788095
2016-06-16,1043405.527581768,1021010.5729455472,1015305.1031167682,1090602.627404371
2016-06-17,1036826.7032380836,1015733.7775365284,1010535.8346725268,1082131.753992092
2016-06-20,1040861.4980826296,1018786.2862919202,1016965.59197821,1089229.8916135211
2016-06-21,1033492.410674526,1010915.7596496976,1017357.7816568548,1090276.1814159243
2016-06-22,1030910.8927954152,1008390.5932961436,1011511.4950096912,1087208.65516601
2016-06-23,1046312.9843743416,1025813.0232907456,1019231.7477999026,1099765.0012606238
2016-06-24,1012282.8608584562,991422.0575439186,986720.740853062,1078908.1318581782
2016-06-27,991644.3025222496,970225.3891297108,965047.2806540508,1072029.0724141535
2016-06-28,1015521.7855478432,993807.9489141376,985138.0302525084,1083819.1349840325
2016-06-29,1038425.3166408768,1014372.559387006,1001754.7348407736,1099636.1131468902
2016-06-30,1048977.245029352,1018671.755459607,1007472.4221790056,1109453.6338726473
2016-07-01,1063471.3604936176,1031793.555001416,1014776.9995356872,1112834.8238374738
2016-07-05,1063471.3619952202,1031793.5778522491,1014776.9879348278,1112834.8444806335
2016-07-06,1055859.3470338602,1025877.555012636,1008464.506028371,1112706.5887316803
2016-07-07,1057772.9203105485,1028259.8953978892,1012788.1389725504,1113394.2900855327
2016-07-08,1077049.885388075,1044629.0043387286,1025848.7304027076,1125200.5921923532
2016-07-11,1074645.9785143037,1040929.5656845152,1032750.4661175358,1132796.909513633
2016-07-12,1088274.388656224,1052103.2285284384,1044589.122293234,1137842.914965004
2016-07-13,1089620.4632524422,1051300.2500769568,1044871.0975681194,1141153.92534334
2016-07-14,1098762.5991509266,1061062.3822692716,1055644.2351148024,1145147.0852428467
2016-07-15,1096048.04274423,1059317.753845108,1050446.5537264906,1143785.983034902
2016-07-18,1100124.038780915,1062430.048852763,1052840.950197536,1144720.2411983234
2016-07-19,1059104.9706831272,1032831.6959452848,1062968.9187314303,1155103.5295545254
2016-07-20,1069456.4733512022,1042218.1949708884,1061866.2029597475,1151349.7165666316
2016-07-21,1062336.4797582754,1035430.7136714966,1054547.367508677,1143978.033023837
2016-07-22,1067117.619573624,1040102.8074638924,1062799.551095423,1153258.8051780483
2016-07-25,1076301.9450292345,1046830.6180788404,1059078.3141062595,1147313.4978021835
2016-07-26,1088689.4038391707,1044161.0568084632,1045238.5038127789,1146003.8883113067
2016-07-27,1086793.411731467,1049080.6389616556,1037640.543661408,1143920.8571923764
2016-07-28,1081452.6137939757,1048327.69953169,1040357.341095882,1145562.7746890616
2016-07-29,1080288.112000678,1041533.163838949,1033024.9581867933,1140831.290526942
2016-08-01,1089826.165042099,1050171.108658726,1039689.4977980345,1144446.052430969
2016-08-02,1075997.488283483,1044891.2876596876,1026217.2771879844,1146646.0058498622
2016-08-03,1077832.866609472,1044366.3765259013,1025640.854073754,1146309.153700102
2016-08-04,1081805.0262533366,1045521.020854896,1027920.5137162434,1150073.143065827
2016-08-05,1092295.1123699604,1061620.4368120567,1015974.2666398024,1157722.209906491
2016-08-08,1083536.1800823451,1055721.9555291284,1006774.8939446936,1156763.816360381
2016-08-09,1080452.867941541,1051760.1790719817,1008306.9737101592,1156348.697643151
2016-08-10,1077912.4987831714,1046943.8793895732,1005223.8433904368,1154718.9314189798
2016-08-11,1096442.4016285725,1057933.3019730882,1010693.1531082971,1159667.419917254
