,rewards
0,-8262.631382818683
1,10185.936045909999
2,5191.500184909673
3,-3989.3537357518217
4,12738.537339980248
5,-8276.16171753779
6,-4513.292873596074
7,-4633.609590454609
8,2874.479595186771
9,-1489.0913602388464
10,1636.5259047561558
11,327.16416852455586
12,-1488.8951013152255
13,4720.134349588421
14,8408.85161265859
15,6.093526381300762
16,-3397.761918609962
17,-2538.378794166725
18,-9346.632923163474
19,-3186.9690162634943
20,-5696.75119642145
21,-2816.8829860034166
22,-4275.405000043684
23,-4827.114142622217
24,20509.620104951202
25,2592.052620920469
26,8686.35868792457
27,-13071.243110751733
28,-970.8359385253862
29,-13293.52325439942
30,10268.074216657667
31,8407.992076572264
32,-2245.945581518463
33,-2232.3734873657813
34,7864.265151049709
35,-2988.527294179541
36,-3860.727221506415
37,5829.095221315976
38,-3518.4036763013573
39,-940.6096184276976
40,-6931.244047824759
41,-8344.567289106315
42,1811.0930561985588
43,2013.7147355714114
44,2088.0598604613915
45,10001.87926619628
46,3529.280280817882
47,13968.471505514928
48,4007.413462685654
49,13642.924004621571
50,-3026.268046652898
51,4828.457528381376
52,-515.5599798583426
53,8275.849263610784
54,172.1256378176622
55,-577.1349212648347
56,-2875.09578796383
57,1049.5999267573934
58,3837.606306152651
59,-5728.4656826781575
60,257.1313699341845
61,-8011.785900879186
