,account_value
0,1037469.1860758066
1,1030464.666013844
2,1026259.1858019158
3,1041021.030982408
4,1047308.7309834893
5,1058091.8094787267
6,1060158.8740807723
7,1065464.908154106
8,1067699.2976078694
9,1070659.3379302067
10,1064425.6447369445
11,1075405.0089579222
12,1071544.0327637969
13,1078803.206777896
14,1071853.88079932
15,1070261.1962761038
16,1065112.308560687
17,1061749.498544164
18,1056696.3575765707
19,1040729.4808428548
20,1043360.6029788558
21,1049352.1555924169
22,1050868.324676637
23,1054667.228400753
24,1059846.5238737403
25,1059719.6620785114
26,1048019.9171531035
27,1051868.7854370384
28,1048175.3580124069
29,1051834.0542631175
30,1047098.1213769963
31,1049776.9230918733
32,1057310.9026385206
33,1052769.0648673866
34,1054271.3031345166
35,1055732.4586428048
36,1056582.3449522404
37,1057267.9285067553
38,1053292.3251171294
39,1059994.1529449474
40,1056739.809523727
41,1051132.154317196
42,1051041.303769165
43,1057075.481190154
44,1061050.5733332331
45,1059258.513982342
46,1064349.144837178
47,1041871.9331043772
48,1045243.5740087065
49,1026550.5240418143
50,1024319.2410336148
51,1033388.3793765431
52,1026770.7743568211
53,1026805.0559166775
54,1017316.8883316799
55,1025764.1483924831
56,1026941.4223769284
57,1022509.2027820726
58,1017074.3471813896
59,1024723.873400802
60,1042377.8046865249
61,1033940.4317271642
62,1040245.3437162356
