,0
0,1000000.0
1,999626.9730272109
2,1000547.4646946609
3,997138.2747475537
4,994469.5964724988
5,990384.2186868691
6,987241.1757701541
7,986779.4333820632
8,976160.4421672248
9,978855.5177945157
10,982318.2974576955
11,954467.4638475574
12,983779.2541215804
13,981639.7398703732
14,981504.3954217951
15,981108.6288130637
16,986730.5400256296
17,1007151.6588828133
18,975301.8755926099
19,967542.2180197343
20,957353.7494512394
21,976630.7362816693
22,958638.6967468497
23,971561.3458404072
24,996321.8813261166
25,993874.9207054296
26,951826.7791266498
27,959481.417844235
28,962913.3781976666
29,947373.3030501431
30,914366.3571868098
31,920864.2953123838
32,911009.5992207695
33,897404.5698979069
34,859682.6680734591
35,885428.4676118689
36,867622.2986563564
37,858344.4134429279
38,858415.2670849419
39,825128.5919279687
40,821652.4285241915
41,835570.4403170679
42,804321.9734649925
43,811230.1506156775
44,798103.4537796417
45,839224.7747680745
46,835591.9075409431
47,867961.1746609074
48,874570.1378421219
49,872782.6397180817
50,899045.5650954548
51,908197.2271678884
52,898765.6677523846
53,882173.1771682441
54,947003.7031052926
55,932994.7304284805
56,947604.237174319
57,965040.6760314393
58,939553.1467296246
59,914866.5724462584
60,928929.0038634443
61,942859.8889983154
62,974048.8024510826
63,986447.8474147625
64,981106.3585248411
65,960834.0026158747
66,969537.7246486527
67,997219.947830742
68,992734.978395594
69,972455.0749887043
70,983591.0746094699
71,998908.2789628912
72,1003426.732418885
73,972396.1678967428
74,988478.1679161892
75,982301.5510613035
76,988237.4051368572
77,990523.5712752402
78,985759.9367483937
79,995606.2669020247
80,1021278.9415137691
81,1027300.4895459022
82,1027952.1036462518
83,1052663.9236127504
84,1054092.5142809341
85,1058712.0945633852
86,1053375.6443922303
87,1085236.8561724501
88,1070439.236184123
89,1069775.9724697133
90,1044106.4621427684
91,1050929.9501268796
92,1041829.3035875396
93,1074685.6684701622
94,1072161.842101001
95,1067748.6065578295
96,1054417.258611194
97,1055552.9863041074
98,1080733.308257057
99,1062773.4614598902
100,1075350.5554122452
101,1091369.8702272207
102,1109767.717931319
103,1118184.5086684658
104,1108412.045056326
105,1117054.4890037393
106,1117299.466904631
107,1113453.4672361496
108,1118632.1154495587
109,1111322.6954682337
110,1106442.4709596236
111,1109187.7317544613
112,1085204.3761156898
113,1073248.5310137246
114,1071607.9554849167
115,1083230.5976928805
116,1080767.6456484536
117,1050657.8987210405
118,1044753.4493065015
119,1039049.9852120776
120,1056878.5125705798
121,1052423.7938478284
122,1058532.9481876737
123,1050679.3673333556
124,1052447.0261580257
125,1022730.3687806595
126,1027269.9952895234
127,1013136.6372133109
128,1016768.7916657745
129,1020511.980896809
130,1010105.6772912908
131,1032554.9240239457
132,1035197.1925655293
133,1063629.2490231113
134,1073897.0222423475
135,1087461.555200532
136,1102636.2368772777
137,1110574.3223759967
138,1108858.6772775294
139,1121568.4267831063
140,1127855.5741277938
141,1129108.692169089
