,rewards
0,6120.423452203628
1,-7538.475991172483
2,-74.12406890722923
3,-5120.71746269404
4,6568.013376567047
5,5400.9394112878945
6,-938.3632368531544
7,878.604438542854
8,6781.463288715808
9,1784.7441689483821
10,100.98583757458255
11,-5892.940825745696
12,875.4430762697011
13,122.84633569326252
14,9685.523661772488
15,5675.870997867547
16,-11399.977681564167
17,-11288.066514760489
18,6478.694875213783
19,-2736.4475121172145
20,-761.8773991123307
21,4179.823269378161
22,5944.879693293711
23,99.7118598325178
24,13520.666793457
25,-13316.649921147153
26,4323.411154692061
27,-10400.594409405254
28,6216.549427886028
29,-8603.435362458928
30,-1234.4219232078176
31,-9678.947157203685
32,2652.1583917837124
33,-1406.6831270137336
34,9582.06892618793
35,3211.9797897671815
36,1214.4727738902438
37,2213.2681899170857
38,-9522.118664629292
39,4379.4471451165155
40,3803.9526365280617
41,2044.7966854218394
42,5681.14016712294
43,-168.19006343279034
44,4380.735687123146
45,-863.3006708160974
46,-5274.094931218075
47,-9696.660933917621
48,2616.228998224018
49,-2336.7609876899514
50,3356.3221255615354
51,-8470.87341227918
52,7098.137621429283
53,1046.2898024031892
54,-3067.52624991443
55,12556.346094613895
56,-20856.86940244562
57,-6879.059444024693
58,11790.062569878763
59,15816.978162857937
60,9817.520725757116
61,3381.1899648264516
