,0
0,1000000.0
1,999754.4881768612
2,1000755.2104839274
3,1002280.2542934342
4,995134.2582614783
5,995063.0016732155
6,999981.2298088343
7,995549.7526410625
8,995995.1547666523
9,993190.8063703832
10,996036.7834801304
11,991478.3535765532
12,981648.042427718
13,975443.285467605
14,959311.0783661304
15,969838.4014610839
16,966591.6788945162
17,960550.9843569077
18,974790.7802480604
19,971837.2302040567
20,994525.201282561
21,996393.6361373153
22,994017.0664523754
23,1012742.8586534002
24,1028417.8807260231
25,1019824.4487714965
26,1049790.793597777
27,1077240.4219303795
28,1087129.0583336495
29,1088518.4741113505
30,1083082.3583408955
31,1101554.3474291079
32,1051166.3635018074
33,1066170.7607775596
34,1048877.0403892314
35,1047936.0335878639
36,1025059.4223298408
37,1042963.1878065016
38,1040557.4082058141
39,1033920.291852904
40,1031576.3102640971
41,1029850.2704190224
42,1009308.8604145388
43,975316.3821317423
44,973802.1362298748
45,969523.278764428
46,977078.9196250545
47,957437.7548735619
48,959187.9873851159
49,972146.4258487422
50,965421.8436372966
51,964687.4479088302
52,960198.4405539864
53,947082.5634287245
54,919147.6684243727
55,926799.9941835912
56,944041.6111340314
57,956300.3067693651
58,999964.8208573614
59,1010851.0088170553
60,1025299.7593333279
61,1013331.8411056277
62,1005382.01174033
63,1033467.641782536
64,1058538.4538717468
65,1077257.6227330533
66,1101044.7882626115
67,1101290.9376205003
68,1102284.3443964052
69,1084331.2410276646
70,1072592.237167369
71,1073055.5189527331
72,1066871.8728994355
73,1086398.998689196
74,1086193.9079392483
75,1040135.9808708365
76,1051444.5198599603
77,1052632.4188687855
78,1062636.7262155812
79,1073123.643840403
80,1080558.5101099159
81,1088100.3001196277
82,1094540.4283595558
83,1081498.2747163095
84,1090163.5262821792
85,1080836.965571165
86,1062977.3569636901
87,1085312.4173333377
88,1075668.8712966375
89,1055147.795989913
90,1077196.5368506298
91,1048694.177784011
92,1049749.1651232243
93,1026376.1172631684
94,1023499.8483648918
95,964358.3463815016
96,940046.2989854676
97,944616.3070993451
98,953886.402832062
99,948726.9637591286
100,967262.1742861775
101,966560.3414538474
102,983604.3724681868
103,985625.5324642276
104,985720.2785956219
105,962261.7899190015
106,979214.8853331247
107,998465.343772472
108,996783.8042148823
109,992103.974191287
110,973196.7874911373
111,970413.3567712775
112,978747.4388927476
113,970189.9914198174
114,981180.9744696218
115,969209.1924422565
116,965987.0705721818
117,983086.901234985
118,983962.9826174421
119,991999.3005553184
120,1004185.3003215997
121,1017802.7204000928
122,1009007.8856038662
123,1013882.4754910091
124,1012739.2103119581
125,1020120.5457815236
126,1049787.9264727514
127,1046646.2876769919
128,1035473.9861304164
129,1028238.081423516
130,1033267.3007587469
131,1040834.1586386024
132,1038419.6113970203
133,1031101.3380046358
134,1035230.3411581647
135,1042270.2612637501
136,1048318.946852433
137,1047564.9599612324
138,1034020.3593380252
139,1037585.6169861467
140,1047210.7190008764
141,1050639.7281446168
142,1043794.1334652692
143,1057576.988258512
144,1064323.9380720085
145,1041440.0430066205
146,1045489.490703871
147,1035670.3671535407
148,1028496.3641606853
149,1037244.8140682634
150,1016900.2684253586
151,1014223.877747562
152,980654.2209249821
153,975480.340663058
154,988326.2691366929
155,994966.6708612203
156,996153.3208566322
157,982980.4629177965
158,1007703.8695582444
159,1015113.5541928337
160,1015147.2374311122
161,982460.413609989
162,976654.1958357095
163,977703.2965207677
164,989543.9659802988
