,account_value
0,1082202.6723730534
1,1074359.98832896
2,1061337.3825271158
3,1051944.6706123184
4,1048911.7713227828
5,1054441.421566807
6,1067091.769589244
7,1068126.8322211797
8,1069149.7363759975
9,1075251.1215005857
10,1074456.3778802813
11,1076686.6016903461
12,1065176.3291915802
13,1066757.719672494
14,1063443.271687026
15,1067797.4564141396
16,1074682.8691357127
17,1062804.5064541255
18,1055945.5345030893
19,1063945.0942299785
20,1055585.6547164288
21,1051239.226298482
22,1048213.9408198807
23,1055006.748901468
24,1053492.2015971872
25,1060593.9506935787
26,1043846.6959288139
27,1039997.4501965465
28,1034020.4488358404
29,1045408.1720073908
30,1035607.6632577416
31,1035402.4369985746
32,1025103.5751931797
33,1025117.6998720308
34,1026620.1488258666
35,1039689.6843220947
36,1040386.2801634368
37,1041583.7098793922
38,1043450.4000269258
39,1036692.1792647629
40,1037768.8089505298
41,1037074.8774874891
42,1032550.4980951325
43,1036398.7064801534
44,1037750.8904521388
45,1038418.9394755431
46,1038435.7462322296
47,1030283.0874884076
48,1022130.1852481933
49,1015842.8245473828
50,1014478.9626298218
51,1015305.1031167682
52,1010535.8346725267
53,1016965.5919782101
54,1017357.7816568547
55,1011511.4950096912
56,1019231.7477999026
57,986720.7408530619
58,965047.2806540509
59,985138.0302525084
60,1001754.7348407736
61,1007472.4221790057
62,1014776.9995356872
