,date,title,stock,sentiment,probability_sentiment
0,2020-06-09,"UbiVac Reports Trial Collaboration With Bristol Myers To Evaluate Safety, Tolerability, Prelim. Efficacy Of Co.'s DPV-001 Cancer Vaccine",BMY,positive,0.7647151350975037
1,2020-06-04,Jounce Therapeutics Regains Worldwide Rights To JTX-8064 From Bristol Myers Squibb,BMY,neutral,0.6849202513694763
2,2020-06-04,Traders Share Their Health Care Picks,BMY,neutral,0.8652154207229614
3,2020-06-03,"The Daily Biotech Pulse: Regulatory Delay For Novartis' Multiple Sclerosis Drug, FSD Gets Nod For COVID-19 Study",BMY,neutral,0.7030315399169922
4,2020-06-03,Bristol Myers Squibb Highlights New Data Reinforcing 'Improved and Durable Clinical Responses of Orencia in Moderate-to-Severe Early Rheumatoid Arthritis Patients with Autoantibodies Linked to More Severe Disease ',BMY,positive,0.9550244212150574
5,2020-06-02,l Myers Squibb Announces Topline Results From Pivotal Phase 3 True North Trial Evaluating Zeposia In Moderate to Severe Ulcerative Colitis; Study Met Primary Endpoint,BMY,positive,0.9061713218688965
6,2020-06-01,Compugen Announces FDA Clearance Of IND Application For Phase 1/2 Triple Combination Study Of COM701 With Bristol Myers Squibb's Opdivo (Nivolumab) And TIGIT Inhibitor,BMY,positive,0.8703159093856812
7,2020-06-01,"Bristol Myers Squibb Announces Commercial Launch and Availability of ZEPOSIA, an Oral Treatment for Relapsing Forms of Multiple Sclerosis",BMY,positive,0.7165263891220093
8,2020-06-01,"Benzinga's Bulls And Bears Of The Week: Amazon, Disney, Netflix And More",BMY,neutral,0.9393619894981384
9,2020-06-01,"The Week Ahead In Biotech: ASCO, Menlo And Merck FDA Decisions, IPOs In The Spotlight",BMY,neutral,0.939157247543335
10,2020-05-29,Bristol Myers CEO To Appear On CNBC's 'Squawk On The Street' At 9:45 a.m. EDT,BMY,neutral,0.9016880989074707
11,2020-05-29,"Cramer Shares His Thoughts On Teva, Oxford Industries And More",BMY,neutral,0.9274390339851379
12,2020-05-28,"'metformin recalls are expected as early as this week. The carcinogen found in the diabetes drug is NDMA, the same one that forced recalls of millions of blood pressure pills and Zantac' -Tweet From Bloomberg Health Policy Reporter",BMY,neutral,0.5761359333992004
13,2020-05-27,Bristol-Myers Analyst Says 'Big 7' Pipeline Assets Hold $15B In Peak Sales Potential,BMY,positive,0.6880971789360046
14,2020-05-27,"The Daily Biotech Pulse: Cumberland's Positive Anti-Bacterial Readout, FDA Nods For Bristol-Myers, Astellas",BMY,neutral,0.7362127900123596
15,2020-05-27,Bristol Myers Squibb Receives European Commission Approval For Zeposia (ozanimod) For Treatment Of Adult Patients With Relapsing Remitting Multiple Sclerosis With Active Disease,BMY,positive,0.9400259256362915
16,2020-05-27,Repare Therapeutics Announces Multi-Target Discovery Collaboration with Bristol Myers Squibb; BMS Will Make $65M Upfront Payment Including $15M In Equity Investment,BMY,positive,0.6699261665344238
17,2020-05-22,"European Medicines Agency Validates Bristol Myers Squibb's Applications For Idecabtagene Vicleucel (Ide-cel, bb2121) And CC-486",BMY,positive,0.5629288554191589
18,2020-05-20,Checkpoint Therapeutics CEO On Tapping Into A $25 Billion Cancer Treatment Market,BMY,neutral,0.612602710723877
19,2020-05-20,Telemedicine A COVID-19 Winner,BMY,neutral,0.8939315676689148
20,2020-05-15,Bristol Myers Squibb Press Release Confirms FDA Approval Of  Opdivo+ Yervoy,BMY,positive,0.5051645040512085
21,2020-05-15,"Bristol Myers Shares At Session High, Up 2.5%; Hearing FDA Okayed Opdivo, Yervoy Combo For Metastatic Non Small Cell Lung Cancer",BMY,positive,0.9520661234855652
22,2020-05-15,FDA  Approves Bristol Myers Squibb's Pomalyst (pomalidomide) For AIDS-Related And HIV-Negative Kaposi Sarcoma,BMY,positive,0.8304824233055115
23,2020-05-14,"Bristol Myers Reports 3-Year Data From CheckMate -277 Confirm Durable, Long-Term Survival Benefits For Opdivo Plus Yervoy vs Chemo",BMY,positive,0.9469420313835144
24,2020-05-14,"Bristol Myers, bluebird bio Will Present Updated Results From Pivotal KarMMa Study Of Ide-cel In Relapsed and Refractory Multiple Myeloma Patients at ASCO On May 29",BMY,neutral,0.9323996901512146
25,2020-05-14,Bristol Myers Reports Opdivo Plus Yervoy With Limited Chemo Significantly Improves Overall Survival vs Chemo Alone,BMY,positive,0.9535028338432312
26,2020-05-13,"AbbVie's Potential Is 'Underappreciated,' Says Morgan Stanley Analyst",BMY,negative,0.957915723323822
27,2020-05-13,"The Daily Biotech Pulse: Gilead Signs Manufacturing Deal For Remdesivir, Bristol-Myers Gets Refuse-To-File Letter",BMY,neutral,0.8767409324645996
28,2020-05-13,"Bristol Myers Squibb And  bluebird bio Say Upon Preliminary Review, FDA Determined That The Chemistry, Manufacturing And Control Module Of The BLA For Idecabtagene Vicleucel Requires Further Detail To Complete The Review",BMY,neutral,0.8967214822769165
29,2020-05-11,Bluebird Bio Announces Amended BCMA CAR-T Collaboration Agreement; Bristol Myers Squibb To Buy Out Its Ex-US Milestone And Royalty Obligations To Bluebird Bio For $200 Million,BMY,neutral,0.7902142405509949
30,2020-05-08,5 Biopharmas Where BofA Would Put Its Money To Work,BMY,neutral,0.9219481348991394
31,2020-05-07,Mid-Afternoon Market Update: Dow Jumps 270 Points; Twilio Shares Rise On Upbeat Results,BMY,positive,0.9184011220932007
32,2020-05-07,"CFRA Maintains Buy on Bristol-Myers Squibb, Raises Price Target to $70",BMY,positive,0.8000605702400208
33,2020-05-07,Mid-Day Market Update: Crude Oil Rises 8%; Vista Outdoor Shares Plunge,BMY,positive,0.9310937523841858
34,2020-05-07,Mid-Morning Market Update: Markets Open Higher; Bristol-Myers Squibb Tops Q1 Estimates,BMY,positive,0.9414172768592834
35,2020-05-07,"The Daily Biotech Pulse: FDA Approves Novartis Lung Cancer Drug, 2-Way Contest Emerging For Tetraphase Pharma, Dexcom To Join S&P 500",BMY,positive,0.7510173320770264
36,2020-05-07,Bristol-Myers Squibb shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,BMY,positive,0.9551427364349365
37,2020-05-07,"Bristol Myers Reaffirms FY20, FY21 Adj. EPS Guidance",BMY,neutral,0.9374901056289673
38,2020-05-07,"Bristol-Myers Squibb Q1 Adj. EPS $1.720 Beats $1.490 Estimate, Sales $10.800B Beat $10.020B Estimate",BMY,positive,0.5536326169967651
39,2020-05-07,"A Peek Into The Markets: US Stock Futures Climb Ahead Of Earnings, Initial Jobless Claims Data",BMY,negative,0.6578000783920288
40,2020-05-07,"8 Stocks To Watch For May 7, 2020",BMY,neutral,0.9043771624565125
41,2020-05-07,"Earnings Scheduled For May 7, 2020",BMY,neutral,0.9202908873558044
42,2020-05-06,"Bristol Myers Squibb Reports FDA Extended Action Date By 3 Months For Biologics License Application for Lisocabtagene Maraleucel; New PDUFA Date Set as Nov. 16, 2020",BMY,neutral,0.6376833319664001
43,2020-05-05,Why Shares Of Gene Therapy Company Genprex Are Surging Higher,BMY,neutral,0.5958166122436523
44,2020-05-05,What You Should Know About Alexion's $1.4B Proposed Buyout Of Portola Pharma,BMY,neutral,0.9428953528404236
45,2020-05-04,3 Keros Analysts On Why Biopharma Is A Compelling Investment Opportunity,BMY,positive,0.7127975225448608
46,2020-05-04,"Benzinga Pro's Top 5 Stocks To Watch For Mon., May 4, 2020: DIS, BMY, PTON, QTNT, TBIO",BMY,neutral,0.9264253377914429
47,2020-05-04,Attention Biotech Investors: Mark Your Calendar For These May PDUFA Dates,BMY,neutral,0.9462452530860901
48,2020-05-04,The Week Ahead In Biotech: Smid-Cap Earnings News Flow Picks Up Pace,BMY,positive,0.9388642311096191
49,2020-05-01,Shares of several healthcare companies are trading lower as markets dip following recent strength. Markets have sold off as investors weigh recent earnings and amid concerns of renewed US-China trade frictions.,BMY,negative,0.9723780155181885
50,2020-05-01,"UPDATE: Bristol Myers Sets FDA PDUFA Date As Sep. 3, 2020",BMY,neutral,0.9436336755752563
51,2020-05-01,Bristol Myers Reports FDA Accepted For Priority Review Co.'s Application For CC-486 For Maintenance Treatment of Adult Patients in Remission with Acute Myeloid Leukemia,BMY,positive,0.9335132837295532
52,2020-05-01,Bristol Myers Squibb And Acceleron Receive Positive CHMP Opinion For The Treatment Of Adults With Anemia In Beta Thalassemia And Myelodysplastic Syndromes,BMY,positive,0.9447605013847351
53,2020-04-27,"The Week Ahead In Biotech (April 26-May 2): Cancer Conference, Earnings News Flow In The Spotlight",BMY,neutral,0.933672308921814
54,2020-04-27,Fast Money Picks For April 27,BMY,neutral,0.9057427644729614
55,2020-04-21,WindMIL Therapeutics Opens Combination Therapy Portion Of Its Phase 2a Clinical Trial Of Marrow-Infiltrating Lymphocytes (MILs) For Treatment Of Patients With Non-Small Cell Lung Cancer,BMY,positive,0.5337473154067993
56,2020-04-20,Bristol-Myers Squibb shares are trading higher after the company announced the results from its Phase 3 CheckMate -9ER Trial met the primary endpoint.,BMY,positive,0.9517461657524109
57,2020-04-20,Bristol Myers Squibb And Exelixis Announce Topline Results From Pivotal Phase 3 CheckMate -9ER Trial Evaluating Opdivo In Combination With CABOMETYX In Previously Untreated Advanced Renal Cell Carcinoma; Study Met Primary Endpoint,BMY,positive,0.9032325744628906
58,2020-04-14,Intensity Therapeutics Signs Clinical Collaboration Agreement With Bristol Myers Squibb For Advanced Solid Tumors,BMY,positive,0.8523404002189636
59,2020-04-09,"Cramer Weighs In On Uber, Yelp And More",BMY,neutral,0.8733060956001282
60,2020-04-08,"The Daily Biotech Pulse: Genmark Pre-Announces Q1 Outperformance, Sage to Eliminate 53% of Workforce, Keros IPO",BMY,negative,0.9219798445701599
61,2020-04-08,Bristol Myers Squibb Announces Acceptance Of US And EU Regulatory Filings For Opdivo Plus Yervoy Combined With Limited Chemotherapy In First-Line Lung Cancer,BMY,positive,0.9246118664741516
62,2020-04-06,Shares of several healthcare companies are trading higher as markets gain amid optimism that coronavirus cases in several US hotspots may be peaking. A sooner peak could mean a sooner return to economic activity.,BMY,positive,0.9354943633079529
63,2020-04-02,Credit Suisse Compiles List Of Corporations With Most And Least Cash,BMY,neutral,0.94819575548172
64,2020-04-01,"CLARIFICATION: B of A Securities Yesterday Maintained Buy on Bristol-Myers Squibb, Announced $75 Price Target",BMY,neutral,0.7887994050979614
65,2020-04-01,Shares of several healthcare companies are trading lower amid market weakness as growing coronavirus concerns in the US weigh on equities.,BMY,negative,0.9710856676101685
66,2020-04-01,Attention Biotech Investors: Mark Your Calendar For These April PDUFA Dates,BMY,neutral,0.9489319920539856
67,2020-03-31,"Shares of several healthcare companies are trading higher amid market strength. NOTE: The coronavirus pandemic has potentially benefited the sector due to demand for medical supplies, testing and treatment candidates",BMY,positive,0.9551731944084167
68,2020-03-31,"The Daily Biotech Pulse: Amarin Faces Legal Setback, Milestone Payment Kicks In For CytomX, Savara, Reata Disclose COVID-19 Disruptions",BMY,negative,0.9107971787452698
69,2020-03-31,Bristol Myers Squibb And Bluebird Bio Announce Submission Of Biologics License Application For Anti-BCMA CAR T Cell Therapy Idecabtagene Vicleucel To FDA,BMY,positive,0.7134149074554443
70,2020-03-30,Shares of several healthcare companies are trading higher as the market rebounds on extended measures to help curb the coronavirus. NOTE: The sector could also be trading higher due to increased demand for medical products amid the coronavirus outbreak.,BMY,positive,0.9101019501686096
71,2020-03-30,"The Week Ahead In Biotech: Clinical Readouts, COVID-19 News Flow In Focus Amid Continuing Uncertainty",BMY,neutral,0.8728939890861511
72,2020-03-27,Bristol Myers Reports Receives Positive CHMP Opinion Recommending Approval Of ZEPOSIA For Treatment of Adult Patients with Relapsing Remitting Multiple Sclerosis with Active Disease,BMY,positive,0.9229606986045837
73,2020-03-26,Why Bristol-Myers Squibb's Stock is Trading Higher Today,BMY,neutral,0.685720682144165
74,2020-03-26,"Shares of several healthcare companies are trading higher following Senate passage of a $2 trillion economic stimulus package, which has lifted stocks across sectors.",BMY,positive,0.9245803952217102
75,2020-03-26,"Bristol-Myers Squibb shares are trading higher after the company announced the FDA has approved ZEPOSIA, its new oral treatment for relapsing forms of multiple sclerosis.",BMY,positive,0.9488713145256042
