,date,stock,sentiment
0,2009-06-16,M,0
1,2009-06-23,KO,0
2,2009-07-27,MRK,0
3,2009-08-06,M,-1
4,2009-08-07,GPS,0
5,2009-08-07,M,0
6,2009-08-07,MA,1
7,2009-08-07,MRK,0
8,2009-08-10,FCX,0
9,2009-08-10,GPS,1
10,2009-08-10,HD,1
11,2009-08-10,KO,0
12,2009-08-10,M,1
13,2009-08-10,MA,0
14,2009-08-10,MRK,0
15,2009-08-10,NOK,0
16,2009-08-11,M,0
17,2009-08-11,MA,0
18,2009-08-12,GPS,0
19,2009-08-12,M,0
20,2009-08-12,MA,1
21,2009-08-13,FCX,0
22,2009-08-13,GPS,0
23,2009-08-13,HD,0
24,2009-08-13,M,0
25,2009-08-13,MA,-1
26,2009-08-14,BMY,0
27,2009-08-14,DAL,0
28,2009-08-14,GPS,0
29,2009-08-14,M,0
30,2009-08-14,MA,-1
31,2009-08-17,EA,0
32,2009-08-17,FCX,0
33,2009-08-17,GILD,0
34,2009-08-17,GPS,0
35,2009-08-17,HD,0
36,2009-08-17,KO,0
37,2009-08-17,LLY,0
38,2009-08-17,M,0
39,2009-08-17,MA,-1
40,2009-08-17,MRK,0
41,2009-08-17,NOK,1
42,2009-08-17,PEP,0
43,2009-08-18,FCX,0
44,2009-08-18,GPS,0
45,2009-08-18,HD,0
46,2009-08-18,M,-1
47,2009-08-18,MA,1
48,2009-08-19,GPS,0
49,2009-08-19,M,0
50,2009-08-19,MA,0
51,2009-08-21,M,0
52,2009-08-24,M,0
53,2009-08-24,NOK,1
54,2009-08-26,M,-1
55,2009-08-26,NOK,0
56,2009-08-27,HD,1
57,2009-08-27,M,0
58,2009-08-28,M,-1
59,2009-08-31,LLY,-1
60,2009-08-31,M,1
61,2009-08-31,NOK,1
62,2009-09-01,M,-1
63,2009-09-02,HD,1
64,2009-09-02,M,1
65,2009-09-02,NOK,1
66,2009-09-03,FCX,1
67,2009-09-03,HD,1
68,2009-09-03,M,0
69,2009-09-03,NOK,0
70,2009-09-04,HD,0
71,2009-09-08,HD,0
72,2009-09-08,M,0
73,2009-09-09,FCX,1
74,2009-09-09,HD,0
75,2009-09-09,KO,0
76,2009-09-09,LLY,0
77,2009-09-09,M,-1
78,2009-09-09,MA,0
79,2009-09-10,DAL,-1
80,2009-09-10,GPS,0
81,2009-09-10,HD,0
82,2009-09-10,M,0
83,2009-09-11,HD,0
84,2009-09-11,M,0
85,2009-09-11,NOK,0
86,2009-09-11,PEP,0
87,2009-09-14,FDX,0
88,2009-09-14,GILD,0
89,2009-09-14,GPS,0
90,2009-09-15,FCX,0
91,2009-09-15,FDX,0
92,2009-09-15,HD,0
93,2009-09-15,M,1
94,2009-09-17,MA,1
95,2009-09-18,FDX,-1
96,2009-09-18,KO,0
97,2009-09-18,MRK,0
98,2009-09-18,PEP,0
99,2009-09-21,DAL,0
100,2009-09-21,FDX,0
101,2009-09-21,GPS,0
102,2009-09-22,FCX,0
103,2009-09-22,GPS,0
104,2009-09-22,M,0
105,2009-09-22,MA,0
106,2009-09-23,EA,1
107,2009-09-23,FCX,0
108,2009-09-23,M,0
109,2009-09-24,EA,0
110,2009-09-24,HD,0
111,2009-09-24,LLY,1
112,2009-09-24,MA,1
113,2009-09-25,DAL,0
114,2009-09-25,KO,0
115,2009-09-25,PEP,0
116,2009-09-29,DAL,0
117,2009-09-29,LLY,-1
118,2009-09-29,PEP,0
119,2009-09-30,KO,0
120,2009-10-01,BMY,0
121,2009-10-01,HD,0
122,2009-10-02,GILD,0
123,2009-10-06,DAL,1
124,2009-10-08,FCX,1
125,2009-10-08,PEP,1
126,2009-10-09,NOK,0
127,2009-10-14,KO,1
128,2009-10-15,FCX,0
129,2009-10-19,LLY,0
130,2009-10-19,M,1
131,2009-10-19,MA,0
132,2009-10-20,KO,0
133,2009-10-21,FCX,1
134,2009-10-21,LLY,1
135,2009-10-21,NOK,0
136,2009-10-22,FCX,0
137,2009-10-22,PEP,-1
138,2009-10-23,NOK,0
139,2009-10-26,HD,1
140,2009-10-26,MA,0
141,2009-10-27,FCX,0
142,2009-10-27,FDX,0
143,2009-10-28,FDX,1
144,2009-10-28,GPS,1
145,2009-10-28,MA,1
146,2009-10-28,NOK,0
147,2009-10-29,FCX,0
148,2009-10-30,FCX,0
149,2009-10-30,KO,0
150,2009-10-30,NOK,0
151,2009-11-02,EA,0
152,2009-11-02,FCX,0
153,2009-11-02,GPS,1
154,2009-11-02,LLY,0
155,2009-11-03,GILD,0
156,2009-11-03,MA,1
157,2009-11-04,EA,0
158,2009-11-04,FCX,0
159,2009-11-04,MRK,-1
160,2009-11-05,DAL,-1
