,Turbulences
2009-06-16,
2009-06-17,57.14471673801038
2009-06-18,64.1752678318982
2009-06-19,48.08612932838908
2009-06-22,51.614612950890724
2009-06-23,42.90922551529852
2009-06-24,65.53354037331796
2009-06-25,59.773879442899016
2009-06-26,32.945893441357086
2009-06-29,29.088802809823854
2009-06-30,39.03063404993327
2009-07-01,30.286476939001826
2009-07-02,40.27280219854885
2009-07-06,52.62424588286536
2009-07-07,38.144707616954506
2009-07-08,40.233688078613206
2009-07-09,33.77915829464402
2009-07-10,23.516263027565813
2009-07-13,49.22785366807087
2009-07-14,24.08412539649388
2009-07-15,48.103808675782695
2009-07-16,99.56071608170676
2009-07-17,26.775761517430286
2009-07-20,62.69310519085909
2009-07-21,193.42335032176265
2009-07-22,61.74614591354342
2009-07-23,181.5203970425073
2009-07-24,56.22377971595918
2009-07-27,42.7083564736535
2009-07-28,34.21428401715744
2009-07-29,27.193032259461237
2009-07-30,25.46867949648457
2009-07-31,37.45231706285311
2009-08-03,38.608213507676815
2009-08-04,130.39147463214883
2009-08-05,60.15905066877996
2009-08-06,65.11831682471558
2009-08-07,30.23129622876667
2009-08-10,43.55927410777807
2009-08-11,32.925308374628784
2009-08-12,36.68057874065068
2009-08-13,30.893122725091846
2009-08-14,22.27589970042513
2009-08-17,41.19813432551769
2009-08-18,22.208373089305432
2009-08-19,20.371157664216604
2009-08-20,19.41685901065732
2009-08-21,34.90886858818829
2009-08-24,19.935016991560968
2009-08-25,25.206200035373357
2009-08-26,20.48232304993688
2009-08-27,14.878268303570515
2009-08-28,34.66841687093477
2009-08-31,14.481549340061614
2009-09-01,35.78977541626541
2009-09-02,32.86810973186729
2009-09-03,50.931245981777195
2009-09-04,11.370779414939932
2009-09-08,28.565480284075033
2009-09-09,41.641172698157575
2009-09-10,38.06229382437619
2009-09-11,70.27528065022527
2009-09-14,27.337848206179597
2009-09-15,52.523274295831136
2009-09-16,62.35473986294983
2009-09-17,85.68163535766911
2009-09-18,20.98997714354586
2009-09-21,27.459680245973043
2009-09-22,44.55222580292706
2009-09-23,33.42567341351167
2009-09-24,29.359449359629057
2009-09-25,33.76635911442895
2009-09-28,17.941895805628327
2009-09-29,26.845046660253225
2009-09-30,16.925497159402678
2009-10-01,39.07040568231504
2009-10-02,58.157959958965996
2009-10-05,50.565623114545176
2009-10-06,26.223701453143075
2009-10-07,53.64097312323215
2009-10-08,39.046139819482434
2009-10-09,35.665046169672074
2009-10-12,31.456966600578827
2009-10-13,29.719777656883327
2009-10-14,41.369994933661495
2009-10-15,44.52996140036187
2009-10-16,42.771014746038475
2009-10-19,35.451781155509686
2009-10-20,80.71153823727857
2009-10-21,98.55286630941534
2009-10-22,54.8946958549409
2009-10-23,45.209205320238915
2009-10-26,25.366906961988988
2009-10-27,23.035182957806246
2009-10-28,47.59974075465243
2009-10-29,72.70680697260067
2009-10-30,16.30408801960315
2009-11-02,14.062004078202106
2009-11-03,28.851973458930466
2009-11-04,65.09067239306191
2009-11-05,28.93635771991239
2009-11-06,50.37100778064189
2009-11-09,32.89953491992547
2009-11-10,25.895294377775436
2009-11-11,51.49047084833898
2009-11-12,23.35721742477108
2009-11-13,28.178291451850065
2009-11-16,34.17590641551869
2009-11-17,21.326006923296134
2009-11-18,25.06750342963881
2009-11-19,21.253420336058543
2009-11-20,22.627963909920158
2009-11-23,23.74835610497015
2009-11-24,16.140654210966872
2009-11-25,20.397206803548645
2009-11-27,9.476436703054976
2009-11-30,41.14310865015059
2009-12-01,55.00967566330742
2009-12-02,39.98365221966184
2009-12-03,28.06984125500894
2009-12-04,28.68987427021861
2009-12-07,76.3281390045514
2009-12-08,41.04474824496858
2009-12-09,42.08718679802165
2009-12-10,55.557511521662605
2009-12-11,61.68260609933838
2009-12-14,21.933484436225903
2009-12-15,21.185029743631695
2009-12-16,51.736657206653135
2009-12-17,45.95796520214666
2009-12-18,48.17022245033891
2009-12-21,23.38000858496972
2009-12-22,15.487268288005602
2009-12-23,31.527015226907167
2009-12-24,7.206817878913468
2009-12-28,9.41333735759067
2009-12-29,11.891244978593129
2009-12-30,11.683554959108898
2009-12-31,10.204783776261129
2010-01-04,25.867669453118364
2010-01-05,45.33569474003003
2010-01-06,39.35767226398912
2010-01-07,51.696014123604094
2010-01-08,44.28379856202139
2010-01-11,69.53724496458368
2010-01-12,32.30620797336502
2010-01-13,22.476394192580116
2010-01-14,47.14134127657671
2010-01-15,23.115320201140083
2010-01-19,29.17282567241431
2010-01-20,22.642521192921794
2010-01-21,89.59332771680005
2010-01-22,27.455019188499218
2010-01-25,14.551650567507984
