Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2016-01-04,17148.939453125,17405.48046875,16957.630859375,17405.48046875,148060000
2016-01-05,17158.66015625,17195.83984375,17038.609375,17147.5,105750000
2016-01-06,16906.509765625,17154.830078125,16817.619140625,17154.830078125,120250000
2016-01-07,16514.099609375,16888.359375,16463.630859375,16888.359375,176240000
2016-01-08,16346.4501953125,16651.890625,16314.5703125,16519.169921875,141850000
2016-01-11,16398.5703125,16461.849609375,16232.0302734375,16358.7099609375,127790000
2016-01-12,16516.220703125,16591.349609375,16322.0703125,16419.109375,117480000
2016-01-13,16151.41015625,16593.509765625,16123.2001953125,16526.630859375,153530000
2016-01-14,16379.0498046875,16482.05078125,16075.1201171875,16159.009765625,158830000
2016-01-15,15988.080078125,16354.330078125,15842.1103515625,16354.330078125,239210000
2016-01-19,16016.01953125,16171.9599609375,15900.25,16009.4501953125,144360000
2016-01-20,15766.740234375,15989.4501953125,15450.5595703125,15989.4501953125,191870000
2016-01-21,15882.6796875,16038.58984375,15704.66015625,15768.8701171875,145140000
2016-01-22,16093.509765625,16136.7900390625,15921.099609375,15921.099609375,145850000
2016-01-25,15885.2197265625,16086.4599609375,15880.150390625,16086.4599609375,123250000
2016-01-26,16167.23046875,16185.7900390625,15893.16015625,15893.16015625,118210000
2016-01-27,15944.4599609375,16235.0302734375,15878.2998046875,16168.740234375,138350000
2016-01-28,16069.6396484375,16102.1396484375,15863.7197265625,15960.2802734375,130120000
2016-01-29,16466.30078125,16466.30078125,16090.259765625,16090.259765625,217940000
2016-02-01,16449.1796875,16510.98046875,16299.4697265625,16453.630859375,114450000
2016-02-02,16153.5400390625,16420.2109375,16108.4404296875,16420.2109375,126210000
2016-02-03,16336.66015625,16381.6904296875,15960.4501953125,16186.2001953125,141870000
2016-02-04,16416.580078125,16485.83984375,16266.16015625,16329.669921875,131490000
2016-02-05,16204.9697265625,16423.630859375,16129.8095703125,16417.94921875,139010000
2016-02-08,16027.0498046875,16147.509765625,15803.5498046875,16147.509765625,165880000
2016-02-09,16014.3798828125,16136.6201171875,15881.1103515625,16005.41015625,127740000
2016-02-10,15914.740234375,16201.8896484375,15899.91015625,16035.6103515625,122290000
2016-02-11,15660.1796875,15897.8203125,15503.009765625,15897.8203125,172070000
2016-02-12,15973.83984375,15974.0400390625,15691.6201171875,15691.6201171875,132550000
2016-02-16,16196.41015625,16196.41015625,16012.3896484375,16012.3896484375,142030000
2016-02-17,16453.830078125,16486.119140625,16217.98046875,16217.98046875,124080000
2016-02-18,16413.4296875,16511.83984375,16390.4296875,16483.759765625,104950000
2016-02-19,16391.990234375,16410.9609375,16278.0,16410.9609375,134340000
2016-02-22,16620.66015625,16664.240234375,16417.130859375,16417.130859375,102240000
2016-02-23,16431.779296875,16610.390625,16403.529296875,16610.390625,98170000
2016-02-24,16484.990234375,16507.390625,16165.8603515625,16418.83984375,93620000
2016-02-25,16697.2890625,16697.98046875,16458.419921875,16504.380859375,94120000
2016-02-26,16639.970703125,16795.98046875,16623.91015625,16712.69921875,98480000
2016-02-29,16516.5,16726.119140625,16510.400390625,16634.150390625,126220000
2016-03-01,16865.080078125,16865.560546875,16545.669921875,16545.669921875,105050000
2016-03-02,16899.3203125,16900.169921875,16766.3203125,16851.169921875,104470000
2016-03-03,16943.900390625,16944.310546875,16820.73046875,16896.169921875,91110000
2016-03-04,17006.76953125,17062.380859375,16898.83984375,16945.0,106910000
2016-03-07,17073.94921875,17099.25,16940.48046875,16991.2890625,100290000
2016-03-08,16964.099609375,17072.7890625,16921.509765625,17050.669921875,108380000
2016-03-09,17000.359375,17048.5,16947.939453125,16969.169921875,116690000
2016-03-10,16995.130859375,17130.109375,16821.859375,17006.05078125,117570000
2016-03-11,17213.310546875,17220.08984375,17014.990234375,17014.990234375,123420000
2016-03-14,17229.130859375,17275.0703125,17161.16015625,17207.490234375,96350000
2016-03-15,17251.529296875,17251.69921875,17120.349609375,17217.150390625,92830000
2016-03-16,17325.759765625,17379.1796875,17204.0703125,17249.33984375,118710000
2016-03-17,17481.490234375,17529.009765625,17297.650390625,17321.380859375,117990000
2016-03-18,17602.30078125,17620.580078125,17481.490234375,17481.490234375,321230000
2016-03-21,17623.869140625,17644.970703125,17551.279296875,17589.69921875,84410000
2016-03-22,17582.5703125,17648.939453125,17540.419921875,17602.7109375,95450000
2016-03-23,17502.58984375,17588.810546875,17486.26953125,17588.810546875,84240000
2016-03-24,17515.73046875,17517.140625,17399.009765625,17485.330078125,84100000
2016-03-28,17535.390625,17583.810546875,17493.029296875,17526.080078125,70460000
2016-03-29,17633.109375,17642.810546875,17434.26953125,17512.580078125,86160000
2016-03-30,17716.66015625,17790.109375,17652.359375,17652.359375,79330000
2016-03-31,17685.08984375,17755.69921875,17669.720703125,17716.05078125,102600000
2016-04-01,17792.75,17811.48046875,17568.01953125,17661.740234375,104890000
2016-04-04,17737.0,17806.380859375,17710.669921875,17799.390625,85230000
2016-04-05,17603.3203125,17718.029296875,17579.560546875,17718.029296875,115230000
2016-04-06,17716.05078125,17723.55078125,17542.5390625,17605.44921875,99410000
2016-04-07,17541.9609375,17687.279296875,17484.23046875,17687.279296875,90120000
2016-04-08,17576.9609375,17694.509765625,17528.16015625,17555.390625,79990000
2016-04-11,17556.41015625,17731.630859375,17555.900390625,17586.48046875,107100000
2016-04-12,17721.25,17744.4296875,17553.5703125,17571.33984375,81020000
